Sector of Institution,Reporting Location,Offense,Date,Count
"Private nonprofit, less-than 2-year",Public Property,Discipline - Illegal Weapon Possesion,sum2014,0
"Private for-profit, less-than 2-year",Public Property,Discipline - Illegal Weapon Possesion,sum2014,4
"Public, 4-year or above",Public Property,Discipline - Illegal Weapon Possesion,sum2015,23
"Private nonprofit, 4-year or above",Public Property,Discipline - Illegal Weapon Possesion,sum2015,17
"Private for-profit, 4-year or above",Public Property,Discipline - Illegal Weapon Possesion,sum2015,0
"Public, 2-year",Public Property,Discipline - Illegal Weapon Possesion,sum2015,2
"Private nonprofit, 2-year",Public Property,Discipline - Illegal Weapon Possesion,sum2015,1
"Private for-profit, 2-year",Public Property,Discipline - Illegal Weapon Possesion,sum2015,0
"Public, less-than 2-year",Public Property,Discipline - Illegal Weapon Possesion,sum2015,1
"Private nonprofit, less-than 2-year",Public Property,Discipline - Illegal Weapon Possesion,sum2015,0
"Private for-profit, less-than 2-year",Public Property,Discipline - Illegal Weapon Possesion,sum2015,4
"Public, 4-year or above",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2013,3960
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2013,3327
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2013,58
"Public, 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2013,860
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2013,8
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2013,15
"Public, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2013,223
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2013,1
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2013,33
"Public, 4-year or above",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2014,4081
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2014,3361
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2014,49
"Public, 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2014,1028
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2014,21
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2014,19
"Public, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2014,251
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2014,2
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2014,47
"Public, 4-year or above",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2015,4256
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2015,2851
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2015,48
"Public, 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2015,1037
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2015,23
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2015,20
"Public, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2015,186
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2015,1
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Drug Arrests,sum2015,50
"Public, 4-year or above",On Campus (Residence Halls),Discipline - Drug Arrests,sum2013,24385
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Discipline - Drug Arrests,sum2013,19428
"Private for-profit, 4-year or above",On Campus (Residence Halls),Discipline - Drug Arrests,sum2013,482
"Public, 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2013,1387
"Private nonprofit, 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2013,133
"Private for-profit, 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2013,66
"Public, less-than 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2013,2
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2013,123
"Public, 4-year or above",On Campus (Residence Halls),Discipline - Drug Arrests,sum2014,26389
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Discipline - Drug Arrests,sum2014,20343
"Private for-profit, 4-year or above",On Campus (Residence Halls),Discipline - Drug Arrests,sum2014,361
"Public, 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2014,1564
"Private nonprofit, 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2014,170
"Private for-profit, 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2014,74
"Public, less-than 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2014,4
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2014,56
"Public, 4-year or above",On Campus (Residence Halls),Discipline - Drug Arrests,sum2015,26381
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Discipline - Drug Arrests,sum2015,19832
"Private for-profit, 4-year or above",On Campus (Residence Halls),Discipline - Drug Arrests,sum2015,313
"Public, 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2015,1627
"Private nonprofit, 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2015,198
"Private for-profit, 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2015,72
"Public, less-than 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2015,13
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Discipline - Drug Arrests,sum2015,78
"Public, 4-year or above",Non-Campus,Discipline - Drug Arrests,sum2013,462
"Private nonprofit, 4-year or above",Non-Campus,Discipline - Drug Arrests,sum2013,1268
"Private for-profit, 4-year or above",Non-Campus,Discipline - Drug Arrests,sum2013,234
"Public, 2-year",Non-Campus,Discipline - Drug Arrests,sum2013,144
"Private nonprofit, 2-year",Non-Campus,Discipline - Drug Arrests,sum2013,39
"Private for-profit, 2-year",Non-Campus,Discipline - Drug Arrests,sum2013,52
"Public, less-than 2-year",Non-Campus,Discipline - Drug Arrests,sum2013,36
"Private nonprofit, less-than 2-year",Non-Campus,Discipline - Drug Arrests,sum2013,0
"Private for-profit, less-than 2-year",Non-Campus,Discipline - Drug Arrests,sum2013,126
"Public, 4-year or above",Non-Campus,Discipline - Drug Arrests,sum2014,419
"Private nonprofit, 4-year or above",Non-Campus,Discipline - Drug Arrests,sum2014,927
"Private for-profit, 4-year or above",Non-Campus,Discipline - Drug Arrests,sum2014,160
"Public, 2-year",Non-Campus,Discipline - Drug Arrests,sum2014,45
"Private nonprofit, 2-year",Non-Campus,Discipline - Drug Arrests,sum2014,10
"Private for-profit, 2-year",Non-Campus,Discipline - Drug Arrests,sum2014,71
"Public, less-than 2-year",Non-Campus,Discipline - Drug Arrests,sum2014,34
"Private nonprofit, less-than 2-year",Non-Campus,Discipline - Drug Arrests,sum2014,0
"Private for-profit, less-than 2-year",Non-Campus,Discipline - Drug Arrests,sum2014,69
"Public, 4-year or above",Non-Campus,Discipline - Drug Arrests,sum2015,286
"Private nonprofit, 4-year or above",Non-Campus,Discipline - Drug Arrests,sum2015,609
"Private for-profit, 4-year or above",Non-Campus,Discipline - Drug Arrests,sum2015,134
"Public, 2-year",Non-Campus,Discipline - Drug Arrests,sum2015,18
"Private nonprofit, 2-year",Non-Campus,Discipline - Drug Arrests,sum2015,0
"Private for-profit, 2-year",Non-Campus,Discipline - Drug Arrests,sum2015,120
"Public, less-than 2-year",Non-Campus,Discipline - Drug Arrests,sum2015,17
"Private nonprofit, less-than 2-year",Non-Campus,Discipline - Drug Arrests,sum2015,0
"Private for-profit, less-than 2-year",Non-Campus,Discipline - Drug Arrests,sum2015,96
"Public, 4-year or above",Public Property,Discipline - Drug Arrests,sum2013,413
"Private nonprofit, 4-year or above",Public Property,Discipline - Drug Arrests,sum2013,247
"Private for-profit, 4-year or above",Public Property,Discipline - Drug Arrests,sum2013,11
"Public, 2-year",Public Property,Discipline - Drug Arrests,sum2013,33
"Private nonprofit, 2-year",Public Property,Discipline - Drug Arrests,sum2013,0
"Private for-profit, 2-year",Public Property,Discipline - Drug Arrests,sum2013,3
"Public, less-than 2-year",Public Property,Discipline - Drug Arrests,sum2013,15
"Private nonprofit, less-than 2-year",Public Property,Discipline - Drug Arrests,sum2013,0
"Private for-profit, less-than 2-year",Public Property,Discipline - Drug Arrests,sum2013,51
"Public, 4-year or above",Public Property,Discipline - Drug Arrests,sum2014,339
"Private nonprofit, 4-year or above",Public Property,Discipline - Drug Arrests,sum2014,281
"Private for-profit, 4-year or above",Public Property,Discipline - Drug Arrests,sum2014,4
"Public, 2-year",Public Property,Discipline - Drug Arrests,sum2014,19
"Private nonprofit, 2-year",Public Property,Discipline - Drug Arrests,sum2014,0
"Private for-profit, 2-year",Public Property,Discipline - Drug Arrests,sum2014,2
"Public, less-than 2-year",Public Property,Discipline - Drug Arrests,sum2014,15
"Private nonprofit, less-than 2-year",Public Property,Discipline - Drug Arrests,sum2014,0
"Private for-profit, less-than 2-year",Public Property,Discipline - Drug Arrests,sum2014,39
"Public, 4-year or above",Public Property,Discipline - Drug Arrests,sum2015,345
"Private nonprofit, 4-year or above",Public Property,Discipline - Drug Arrests,sum2015,234
"Private for-profit, 4-year or above",Public Property,Discipline - Drug Arrests,sum2015,10
"Public, 2-year",Public Property,Discipline - Drug Arrests,sum2015,32
"Private nonprofit, 2-year",Public Property,Discipline - Drug Arrests,sum2015,14
"Private for-profit, 2-year",Public Property,Discipline - Drug Arrests,sum2015,3
"Public, less-than 2-year",Public Property,Discipline - Drug Arrests,sum2015,4
"Private nonprofit, less-than 2-year",Public Property,Discipline - Drug Arrests,sum2015,0
"Private for-profit, less-than 2-year",Public Property,Discipline - Drug Arrests,sum2015,33
"Public, 4-year or above",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2013,6695
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2013,9601
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2013,41
"Public, 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2013,597
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2013,4
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2013,2
"Public, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2013,80
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2013,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2013,15
"Public, 4-year or above",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2014,7870
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2014,8999
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2014,57
"Public, 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2014,627
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2014,29
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2014,8
"Public, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2014,133
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2014,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2014,18
"Public, 4-year or above",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2015,6046
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2015,8146
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2015,31
"Public, 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2015,464
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2015,11
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2015,8
"Public, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2015,120
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2015,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Discipline - Liquor Law Violations,sum2015,7
"Public, 4-year or above",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2013,91642
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2013,78803
"Private for-profit, 4-year or above",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2013,565
"Public, 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2013,3831
"Private nonprofit, 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2013,205
"Private for-profit, 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2013,88
"Public, less-than 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2013,2
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2013,81
"Public, 4-year or above",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2014,95721
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2014,79409
"Private for-profit, 4-year or above",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2014,518
"Public, 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2014,3915
"Private nonprofit, 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2014,431
"Private for-profit, 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2014,124
"Public, less-than 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2014,21
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2014,57
"Public, 4-year or above",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2015,90374
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2015,76364
"Private for-profit, 4-year or above",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2015,488
"Public, 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2015,4009
"Private nonprofit, 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2015,346
"Private for-profit, 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2015,69
"Public, less-than 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2015,22
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Discipline - Liquor Law Violations,sum2015,73
"Public, 4-year or above",Non-Campus,Discipline - Liquor Law Violations,sum2013,1573
"Private nonprofit, 4-year or above",Non-Campus,Discipline - Liquor Law Violations,sum2013,3483
"Private for-profit, 4-year or above",Non-Campus,Discipline - Liquor Law Violations,sum2013,267
"Public, 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2013,416
"Private nonprofit, 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2013,84
"Private for-profit, 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2013,51
"Public, less-than 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2013,4
"Private nonprofit, less-than 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2013,0
"Private for-profit, less-than 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2013,92
"Public, 4-year or above",Non-Campus,Discipline - Liquor Law Violations,sum2014,1472
"Private nonprofit, 4-year or above",Non-Campus,Discipline - Liquor Law Violations,sum2014,2920
"Private for-profit, 4-year or above",Non-Campus,Discipline - Liquor Law Violations,sum2014,190
"Public, 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2014,219
"Private nonprofit, 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2014,6
"Private for-profit, 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2014,115
"Public, less-than 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2014,4
"Private nonprofit, less-than 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2014,0
"Private for-profit, less-than 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2014,65
"Public, 4-year or above",Non-Campus,Discipline - Liquor Law Violations,sum2015,1206
"Private nonprofit, 4-year or above",Non-Campus,Discipline - Liquor Law Violations,sum2015,2219
"Private for-profit, 4-year or above",Non-Campus,Discipline - Liquor Law Violations,sum2015,124
"Public, 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2015,179
"Private nonprofit, 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2015,7
"Private for-profit, 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2015,55
"Public, less-than 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2015,0
"Private nonprofit, less-than 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2015,0
"Private for-profit, less-than 2-year",Non-Campus,Discipline - Liquor Law Violations,sum2015,75
"Public, 4-year or above",Public Property,Discipline - Liquor Law Violations,sum2013,1413
"Private nonprofit, 4-year or above",Public Property,Discipline - Liquor Law Violations,sum2013,867
"Private for-profit, 4-year or above",Public Property,Discipline - Liquor Law Violations,sum2013,4
"Public, 2-year",Public Property,Discipline - Liquor Law Violations,sum2013,25
"Private nonprofit, 2-year",Public Property,Discipline - Liquor Law Violations,sum2013,0
"Private for-profit, 2-year",Public Property,Discipline - Liquor Law Violations,sum2013,4
"Public, less-than 2-year",Public Property,Discipline - Liquor Law Violations,sum2013,1
"Private nonprofit, less-than 2-year",Public Property,Discipline - Liquor Law Violations,sum2013,0
"Private for-profit, less-than 2-year",Public Property,Discipline - Liquor Law Violations,sum2013,23
"Public, 4-year or above",Public Property,Discipline - Liquor Law Violations,sum2014,1207
"Private nonprofit, 4-year or above",Public Property,Discipline - Liquor Law Violations,sum2014,818
"Private for-profit, 4-year or above",Public Property,Discipline - Liquor Law Violations,sum2014,8
"Public, 2-year",Public Property,Discipline - Liquor Law Violations,sum2014,34
"Private nonprofit, 2-year",Public Property,Discipline - Liquor Law Violations,sum2014,2
"Private for-profit, 2-year",Public Property,Discipline - Liquor Law Violations,sum2014,4
"Public, less-than 2-year",Public Property,Discipline - Liquor Law Violations,sum2014,9
"Private nonprofit, less-than 2-year",Public Property,Discipline - Liquor Law Violations,sum2014,0
"Private for-profit, less-than 2-year",Public Property,Discipline - Liquor Law Violations,sum2014,9
"Public, 4-year or above",Public Property,Discipline - Liquor Law Violations,sum2015,955
"Private nonprofit, 4-year or above",Public Property,Discipline - Liquor Law Violations,sum2015,770
"Private for-profit, 4-year or above",Public Property,Discipline - Liquor Law Violations,sum2015,6
"Public, 2-year",Public Property,Discipline - Liquor Law Violations,sum2015,24
"Private nonprofit, 2-year",Public Property,Discipline - Liquor Law Violations,sum2015,0
"Private for-profit, 2-year",Public Property,Discipline - Liquor Law Violations,sum2015,0
"Public, less-than 2-year",Public Property,Discipline - Liquor Law Violations,sum2015,0
"Private nonprofit, less-than 2-year",Public Property,Discipline - Liquor Law Violations,sum2015,0
"Private for-profit, less-than 2-year",Public Property,Discipline - Liquor Law Violations,sum2015,8
"Public, 4-year or above",All,Fires - Fires,sum2013,920
"Private nonprofit, 4-year or above",All,Fires - Fires,sum2013,1074
"Private for-profit, 4-year or above",All,Fires - Fires,sum2013,16
"Public, 2-year",All,Fires - Fires,sum2013,45
"Private nonprofit, 2-year",All,Fires - Fires,sum2013,4
"Private for-profit, 2-year",All,Fires - Fires,sum2013,1
"Public, less-than 2-year",All,Fires - Fires,sum2013,2
"Private nonprofit, less-than 2-year",All,Fires - Fires,sum2013,0
"Private for-profit, less-than 2-year",All,Fires - Fires,sum2013,4
"Public, 4-year or above",All,Fires - Fires,sum2014,958
"Private nonprofit, 4-year or above",All,Fires - Fires,sum2014,1058
"Private for-profit, 4-year or above",All,Fires - Fires,sum2014,19
"Public, 2-year",All,Fires - Fires,sum2014,54
"Private nonprofit, 2-year",All,Fires - Fires,sum2014,3
"Private for-profit, 2-year",All,Fires - Fires,sum2014,2
"Public, less-than 2-year",All,Fires - Fires,sum2014,1
"Private nonprofit, less-than 2-year",All,Fires - Fires,sum2014,0
"Private for-profit, less-than 2-year",All,Fires - Fires,sum2014,1
"Public, 4-year or above",All,Fires - Fires,sum2015,825
"Private nonprofit, 4-year or above",All,Fires - Fires,sum2015,987
"Private for-profit, 4-year or above",All,Fires - Fires,sum2015,18
"Public, 2-year",All,Fires - Fires,sum2015,89
"Private nonprofit, 2-year",All,Fires - Fires,sum2015,6
"Private for-profit, 2-year",All,Fires - Fires,sum2015,1
"Public, less-than 2-year",All,Fires - Fires,sum2015,0
"Private nonprofit, less-than 2-year",All,Fires - Fires,sum2015,0
"Private for-profit, less-than 2-year",All,Fires - Fires,sum2015,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2013,0
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2013,0
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2013,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2013,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2013,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2013,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2013,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2013,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2014,0
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2014,0
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2014,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2014,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2014,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2014,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2014,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2014,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2015,0
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2015,0
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2015,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2015,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2015,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2015,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2015,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Murder,sum2015,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Murder,sum2013,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Murder,sum2013,0
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Murder,sum2013,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2013,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2013,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2013,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2013,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Murder,sum2014,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Murder,sum2014,0
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Murder,sum2014,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2014,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2014,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2014,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2014,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Murder,sum2015,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Murder,sum2015,0
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Murder,sum2015,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2015,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2015,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2015,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Murder,sum2015,0
"Public, 4-year or above",Non-Campus,Hate Crime - Murder,sum2013,0
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - Murder,sum2013,0
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - Murder,sum2013,0
"Public, 2-year",Non-Campus,Hate Crime - Murder,sum2013,0
"Private nonprofit, 2-year",Non-Campus,Hate Crime - Murder,sum2013,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - Murder,sum2013,0
"Public, less-than 2-year",Non-Campus,Hate Crime - Murder,sum2013,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - Murder,sum2013,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - Murder,sum2013,0
"Public, 4-year or above",Non-Campus,Hate Crime - Murder,sum2014,0
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - Murder,sum2014,0
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - Murder,sum2014,0
"Public, 2-year",Non-Campus,Hate Crime - Murder,sum2014,0
"Private nonprofit, 2-year",Non-Campus,Hate Crime - Murder,sum2014,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - Murder,sum2014,0
